epoch,global_step,split,stage,learning_rate,loss,mse,l1,reconstruction,perceptual,adversarial,warp,temporal_excess,rebound,safety_total,psnr,discriminator,ste_singular_recall
10,9600,train,lfrm,5.091522814871835e-05,0.08018524602327186,,0.0794752816883071,,,,,0.005782446571667303,0.001317195582251188,0.0007099642286708748,20.451082323988278,,0.4461226818151772
10,9600,val,lfrm,5.091522814871835e-05,0.08355380942424138,,0.08270296808332205,,,,,0.0067736697606354335,0.001734746724943322,0.0008508416583936195,20.06501703262329,,0.4388888840874036
11,10560,train,lfrm,4.312662498265211e-05,0.08003599321624885,,0.07932848313163655,,,,,0.005623830410498461,0.001451269056106354,0.0007075099573455645,20.453622194131217,,0.4408701568997155
11,10560,val,lfrm,4.312662498265211e-05,0.08440028888483843,,0.0835698659842213,,,,,0.006821229006163776,0.0014830040568137785,0.0008304233124363236,19.949275557200114,,0.4388888840874036
12,11520,train,lfrm,3.552148091513847e-05,0.0809993738308549,,0.08031150609022006,,,,,0.005505788118474205,0.0013728894684010497,0.0006878677699887703,20.387866382797558,,0.43978666625916957
12,11520,val,lfrm,3.552148091513847e-05,0.08463770896196365,,0.08383163611094156,,,,,0.006619218581666549,0.0014415164659563385,0.0008060735128916955,19.926722923914593,,0.4388888840874036
13,12480,train,lfrm,2.8289021758197847e-05,0.08044238919780279,,0.07979639688855969,,,,,0.005296064492919565,0.0011638585974937784,0.000645992319557583,20.45995014210542,,0.43536089816285917
13,12480,val,lfrm,2.8289021758197847e-05,0.08410034620513519,,0.08329274579882621,,,,,0.006417009114132574,0.0016590010881572268,0.0008076010374982919,20.005364863077798,,0.4388888840874036
14,13440,train,lfrm,2.1609200441679743e-05,0.08124042632989585,,0.08056723392995385,,,,,0.005444118972332035,0.0012878054380765227,0.0006731924522677938,20.36107579469681,,0.4375261145255839
14,13440,val,lfrm,2.1609200441679743e-05,0.08436455074697732,,0.08354981659601132,,,,,0.006629995090770535,0.001517345420772879,0.0008147340698390811,19.94960091908773,,0.4388888840874036
15,14400,train,lfrm,1.564821955182692e-05,0.08129937875977096,,0.08060951251924658,,,,,0.005617437403013052,0.0012812260137707449,0.000689866353009568,20.366351200143495,,0.43720895471051335
15,14400,val,lfrm,1.564821955182692e-05,0.08415699191391468,,0.08336153297374646,,,,,0.006371320400891515,0.0015832710234759072,0.0007954591554153012,19.992928107579548,,0.4388888840874036
16,15360,train,lfrm,1.0554395996157114e-05,0.08085256678362687,,0.08018932291306555,,,,,0.005422763160085727,0.001209675406272683,0.0006632438668601637,20.365477296710015,,0.4381244708318263
16,15360,val,lfrm,1.0554395996157114e-05,0.08426454172780116,,0.08346902728080749,,,,,0.006454612902598455,0.0015005292411530036,0.0007955142287149404,19.96849365234375,,0.4388888840874036
17,16320,train,lfrm,6.454470687144003e-06,0.07973157769689958,,0.07906784517302488,,,,,0.005311477148309981,0.0013258476694798728,0.0006637324925743353,20.51304737428824,,0.4442104422332098
