epoch,global_step,split,stage,learning_rate,loss,mse,l1,reconstruction,perceptual,adversarial,warp,temporal_excess,rebound,safety_total,psnr,discriminator,ste_singular_recall
9,8640,train,gfrm,8.834631358027713e-05,0.018632376548096848,0.017865723536912508,,,,,,0.005917259436379633,0.0017492706090899844,0.0007666530177014389,18.344094292322794,,0.43504005584400146
9,8640,val,gfrm,8.834631358027713e-05,0.01627456259448081,0.015257190338646372,,,,,,0.008653127033418665,0.0015205947347356622,0.0010173721939888006,18.69466873804728,,0.4388888840874036
10,9600,train,gfrm,8.571930420459632e-05,0.0181914333232271,0.017398108434766375,,,,,,0.00603698815037698,0.0018962609476545192,0.0007933249224353271,18.462738422552743,,0.4461226818151772
10,9600,val,gfrm,8.571930420459632e-05,0.01609080710525935,0.015178397992470612,,,,,,0.006336288288972962,0.002787802281472788,0.0009124090801681935,18.930783398946126,,0.4388888840874036
11,10560,train,gfrm,8.28740213296912e-05,0.017924908616017397,0.017170488926179436,,,,,,0.005820383416327483,0.0017238134063385579,0.0007544196954711424,18.556824347376825,,0.4408701568997155
11,10560,val,gfrm,8.28740213296912e-05,0.016499479355600973,0.01580060189201807,,,,,,0.006428610290943955,0.0005601647633857472,0.0006988775181525853,18.724316517512005,,0.4388888840874036
12,11520,train,gfrm,7.982809874655832e-05,0.017233645189844538,0.016469691199502753,,,,,,0.005881848485508575,0.001757691063916153,0.0007639539685991774,18.67063574294249,,0.43978666625916957
12,11520,val,gfrm,7.982809874655832e-05,0.016981361713260413,0.016245112001585463,,,,,,0.006915708647769255,0.0004467879245440528,0.0007362496660789474,18.468468316396077,,0.4388888840874036
13,12480,train,gfrm,7.660041372139028e-05,0.01722822266650231,0.01650255174996952,,,,,,0.005779697309462032,0.0014770115006342301,0.0007256708924519018,18.76350229481856,,0.43536089816285917
13,12480,val,gfrm,7.660041372139028e-05,0.014152724148395161,0.013394114394516994,,,,,,0.006306218963194017,0.0012798776074916419,0.0007586096688707282,19.35922951698303,,0.4388888840874036
14,13440,train,gfrm,7.321097000272068e-05,0.017047730066648607,0.016305722517548322,,,,,,0.0057685604247803704,0.0016515147762249905,0.0007420075321479184,18.754720771312712,,0.4375261145255839
14,13440,val,gfrm,7.321097000272068e-05,0.01431828762482231,0.013610161868079255,,,,,,0.0056860730299376884,0.0013951838918649115,0.0007081257203026325,19.233197720845542,,0.4388888840874036
15,14400,train,gfrm,6.968077384713538e-05,0.016483207855344517,0.015769724843145618,,,,,,0.005602299769525132,0.0015325303733721275,0.0007134830278678598,18.950280658404033,,0.43720895471051335
15,14400,val,gfrm,6.968077384713538e-05,0.014340836911772688,0.013504068704787642,,,,,,0.007387866388307884,0.0009798158684804206,0.000836768250943957,19.329159768422446,,0.4388888840874036
16,15360,train,gfrm,6.60317038318871e-05,0.015893894122806767,0.015160274438918956,,,,,,0.005895264555889904,0.0014409320936585221,0.0007336196784860268,19.02458318074544,,0.4381244708318263
16,15360,val,gfrm,6.60317038318871e-05,0.014539967477321624,0.013545534061267971,,,,,,0.006898458393698093,0.0030458755863398265,0.000994433412173142,19.502646684646606,,0.4388888840874036
17,16320,train,gfrm,6.228637526125662e-05,0.015636022533969177,0.014939846739677402,,,,,,0.0055474191745058,0.0014143387185360462,0.0006961758005246566,19.169957822561265,,0.4442104422332098
