gap,clip,before,after,cuts
0.1,Y76O5wY7EcM.mp4,79.4,68.56,280
0.1,Z0NIxY7svlM.mp4,23.8,0.0,20
0.1,_3-eqclZgQc.mp4,17.87,0.0,26
0.1,ezm9i2nGYwQ.mp4,79.26,31.2,294
0.1,ila-hAUXR5U.mp4,0.0,0.0,0
0.1,kMJVNerOtRI.mp4,0.0,0.0,0
0.1,xDdAHEUQ2zA.mp4,48.43,0.0,142
0.1,xbawhCyMsRI.mp4,74.1,0.0,127
0.1,yqkfZuyQPc4.mp4,0.0,0.0,25
0.1,zlmWXyIFYnM.mp4,79.36,34.28,275
0.15,4UEAYxGC1gE.mp4,0.0,0.0,0
0.15,523LwKMfF2I.mp4,79.48,74.6,203
0.15,6gmCC4OkFx8.mp4,0.0,0.0,12
0.15,9-ochJEQpb0.mp4,0.0,0.0,5
0.15,AjbrmfjJRk0.mp4,79.25,0.0,0
0.15,Ben_8tA6Eyg.mp4,11.5,0.0,13
0.15,CIHun1gx7zU.mp4,58.96,2.77,120
0.15,GSTB2MVHtMk.mp4,0.0,0.0,10
0.15,M5HYGDDf6wU.mp4,1.21,0.0,0
0.15,MFC0eGtaF5M.mp4,21.2,0.0,9
0.15,PFSDW2g3D8o.mp4,78.03,0.0,8
0.15,QtXx3Qubmys.mp4,0.33,0.0,8
0.15,TXeDgXiytM0.mp4,79.3,13.75,214
0.15,UoHK74aS9sY.mp4,0.0,0.0,5
0.15,Y76O5wY7EcM.mp4,79.4,62.63,209
0.15,Z0NIxY7svlM.mp4,23.8,0.0,20
0.15,_3-eqclZgQc.mp4,17.87,0.0,23
0.15,ezm9i2nGYwQ.mp4,79.26,23.57,214
0.15,ila-hAUXR5U.mp4,0.0,0.0,0
0.15,kMJVNerOtRI.mp4,0.0,0.0,0
0.15,xDdAHEUQ2zA.mp4,48.43,0.0,124
0.15,xbawhCyMsRI.mp4,74.1,0.0,115
0.15,yqkfZuyQPc4.mp4,0.0,0.0,25
0.15,zlmWXyIFYnM.mp4,79.36,34.98,194
0.2,4UEAYxGC1gE.mp4,0.0,0.0,0
0.2,523LwKMfF2I.mp4,79.48,16.16,162
0.2,6gmCC4OkFx8.mp4,0.0,0.0,8
0.2,9-ochJEQpb0.mp4,0.0,0.0,5
0.2,AjbrmfjJRk0.mp4,79.25,0.0,0
0.2,Ben_8tA6Eyg.mp4,11.5,0.0,12
0.2,CIHun1gx7zU.mp4,58.96,0.54,96
0.2,GSTB2MVHtMk.mp4,0.0,0.0,8
0.2,M5HYGDDf6wU.mp4,1.21,0.0,0
0.2,MFC0eGtaF5M.mp4,21.2,0.0,8
0.2,PFSDW2g3D8o.mp4,78.03,0.0,8
0.2,QtXx3Qubmys.mp4,0.33,0.0,8
0.2,TXeDgXiytM0.mp4,79.3,0.6,168
